"","PercID","TargID","GroupID","known_either","FE_seen","FE_known","FE_verb","FE_num","FE_spat","FE_crea","FE_intra","FE_inter","FE_obs_verb","FE_obs_num","FE_obs_spat","FE_obs_crea","FE_obs_intra","FE_obs_inter","FE_humor","FE_attract","FE_symp","FE_STR","FE_LTR","FE_Match","FE_verb_acq","FE_num_acq","FE_spat_acq","FE_crea_acq","FE_intra_acq","FE_inter_acq","FE_obs_verb_acq","FE_obs_num_acq","FE_obs_spat_acq","FE_obs_crea_acq","FE_obs_intra_acq","FE_obs_inter_acq","FE_humor_acq","FE_attract_acq","FE_symp_acq","FE_STR_acq","FE_LTR_acq","FE_Match_acq"
"1","SD_1_01_M","SD_1_01_W",1,0,0,0,4,4,3,4,5,5,4,3,2,3,5,5,4,5,5,5,5,1,4,4,3,4,5,5,4,3,2,3,5,5,4,5,5,5,5,1
"2","SD_1_01_M","SD_1_02_W",1,0,0,0,3,5,5,4,4,3,5,5,5,5,5,5,5,3,5,4,3,1,3,5,5,4,4,3,5,5,5,5,5,5,5,3,5,4,3,1
"3","SD_1_01_M","SD_1_03_W",1,0,0,0,4,3,3,4,5,5,5,4,2,5,5,5,4,2,5,2,1,NA,4,3,3,4,5,5,5,4,2,5,5,5,4,2,5,2,1,NA
"4","SD_1_01_M","SD_1_04_W",1,0,0,0,2,5,5,3,3,2,5,5,5,4,5,5,3,1,3,1,1,NA,2,5,5,3,3,2,5,5,5,4,5,5,3,1,3,1,1,NA
"5","SD_1_01_M","SD_1_05_W",1,0,0,0,4,4,3,3,5,4,4,4,2,2,5,4,4,5,5,4,5,1,4,4,3,3,5,4,4,4,2,2,5,4,4,5,5,4,5,1
"6","SD_1_01_M","SD_1_06_W",1,0,0,0,3,4,4,3,4,4,4,5,4,4,5,4,5,3,5,2,1,0,3,4,4,3,4,4,4,5,4,4,5,4,5,3,5,2,1,0
"7","SD_1_01_M","SD_1_07_W",1,0,0,0,4,4,3,3,5,5,4,4,2,4,5,5,5,5,5,5,5,1,4,4,3,3,5,5,4,4,2,4,5,5,5,5,5,5,5,1
"8","SD_1_01_M","SD_1_08_W",1,0,0,0,4,4,3,4,4,5,5,4,3,4,4,5,4,4,5,3,3,1,4,4,3,4,4,5,5,4,3,4,4,5,4,4,5,3,3,1
"9","SD_1_01_M","SD_1_09_W",1,0,0,0,4,4,4,4,5,5,5,4,4,3,5,5,5,3,5,2,1,0,4,4,4,4,5,5,5,4,4,3,5,5,5,3,5,2,1,0
"10","SD_1_01_M","SD_1_11_W",1,0,0,0,5,4,4,3,5,5,5,3,4,5,5,5,5,5,5,5,4,1,5,4,4,3,5,5,5,3,4,5,5,5,5,5,5,5,4,1
